"Area","Use case","Role","Route","Expected result","Status"
"Auth","Password login","All seeded roles","/login","Role redirects to correct dashboard","Ready for Playwright"
"Auth","Show/hide password","Public","/login","Password visibility toggles without changing value","Implemented"
"Public","Logged-in home header","All seeded roles","/","Header shows user name and dashboard CTA","Implemented"
"Cards","Browse card library","Public/authenticated","/cards","Cards load from Supabase with fallback","Existing"
"Claim","Claim connector card","Employee","/claim-card/connector","Recognition inserts into recognition_events","Existing"
"Employee","Dashboard data","Employee","/employee","Metrics/recent recognitions use real rows","Existing/refined"
"Manager","Team dashboard","Manager","/manager","Team metrics use assigned team data","Existing"
"Company","Create team","Company Admin","/company/teams","Team server action creates row","Existing"
"Company","Invite employee","Company Admin","/company/employees","Invitation link generated and copyable","Existing"
"Company","Manage employee status/team","Company Admin","/company/employees","Server actions update profiles","Existing"
"Admin","Platform overview","Super Admin","/admin","Admin portal accessible for super_admin role","Seeded access"
